"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"DJ LeMahieu","Yankees","150","693","623","178","31","2","20","96","72","54","101","5","7","3","",".285",".345",".435",".780",".333","","107","-0.5","2.4","","6.1","4.5","3.4","","49.8","9874"
"Javier Baez","Cubs","150","658","613","167","35","4","34","88","104","34","175","4","15","6","",".273",".313",".508",".821",".337","","107","2.0","-1.6","","7.8","5.9","3.4","","27.8","12979"
"Justin Turner","Dodgers","126","554","483","135","29","1","23","76","80","53","88","13","2","1","",".281",".364",".488",".852",".359","","125","-0.7","-3.0","","17.8","-0.9","3.4","","143.4","5235"
"Peter Alonso","Mets","150","664","575","145","27","2","44","97","108","68","168","14","2","1","",".252",".343",".535",".878",".362","","128","-0.5","1.3","","24.2","-11.2","3.3","","28.2","19251"
"Tommy Pham","Padres","141","637","544","148","27","3","25","92","73","77","137","7","18","6","",".272",".366",".467",".834",".353","","120","1.3","1.8","","18.1","-5.2","3.3","","80.8","2967"
"Yordan Alvarez","Astros","138","566","491","137","27","1","36","85","95","66","137","4","3","1","",".279",".366",".555",".921",".377","","140","-0.2","0.0","","29.0","-15.6","3.2","","46.6","19556"
"Ramon Laureano","Athletics","133","587","527","139","31","1","23","80","75","44","147","8","14","5","",".264",".328",".458",".786",".331","","110","2.3","0.7","","9.5","2.8","3.2","","83.4","17128"
"Kyle Schwarber","Cubs","138","590","504","128","23","2","37","84","98","76","157","5","4","2","",".254",".354",".529",".883",".363","","124","0.3","1.4","","18.7","-5.5","3.1","","121.0","16478"
"Joey Gallo","Rangers","134","581","485","112","21","2","41","86","98","85","205","6","7","3","",".231",".349",".534",".883",".363","","119","2.1","3.3","","16.0","-4.5","3.1","","74.6","14128"
"Brandon Lowe","Rays","134","615","544","135","29","3","25","83","70","55","168","7","8","3","",".248",".323",".449",".772",".326","","106","1.9","1.2","","6.4","3.0","3.0","","185.4","18882"
"Andrelton Simmons","Angels","133","528","482","134","26","2","11","59","60","34","50","4","9","3","",".278",".327",".404",".731",".312","","95","-0.3","9.0","","-3.3","15.7","3.0","","398.2","10847"
"Jorge Polanco","Twins","149","674","604","170","36","5","19","95","82","56","111","5","8","4","",".281",".344",".454",".798",".337","","109","1.1","-9.2","","9.0","-2.0","3.0","","136.4","13152"
"Eugenio Suarez","Reds","149","657","568","144","25","2","36","89","98","74","171","9","3","2","",".253",".345",".493",".839",".350","","113","-1.9","-2.3","","9.1","0.1","3.0","","72.4","12552"
"Byron Buxton","Twins","130","489","444","117","29","3","18","67","66","33","124","4","22","6","",".263",".318",".462",".780",".326","","102","4.1","5.9","","5.2","8.1","3.0","","155.2","14161"
"Brian Anderson","Marlins","150","673","591","153","34","2","21","84","72","61","142","13","5","2","",".260",".339",".433",".772",".329","","106","0.1","0.2","","5.3","2.7","2.9","","205.8","18289"
"Starling Marte","Diamondbacks","141","646","589","167","32","6","24","92","75","35","120","12","27","9","",".284",".335",".481",".816",".341","","109","1.8","-3.2","","9.5","-0.9","2.9","","29.0","9241"
"Nelson Cruz","Twins","141","621","543","153","26","1","39","94","110","62","153","10","1","1","",".282",".363",".548",".912",".375","","135","-3.4","0.0","","24.1","-16.4","2.9","","68.8","2434"
"Rhys Hoskins","Phillies","146","633","524","127","26","2","35","88","96","95","148","8","3","2","",".242",".364",".500",".864",".361","","122","0.2","2.1","","18.9","-10.1","2.8","","106.6","16472"
"Michael Conforto","Mets","130","550","465","117","24","1","28","72","80","72","131","8","5","2","",".251",".358",".490",".848",".355","","124","0.8","-0.5","","18.1","-6.8","2.8","","111.0","16376"
"Luis Robert","White Sox","138","533","491","134","24","5","24","69","77","26","135","7","20","9","",".272",".317",".485",".802",".334","","110","0.5","0.0","","7.2","2.3","2.8","","999.0","sa3003396"
"Max Muncy","Dodgers","138","608","508","122","22","1","30","87","81","86","160","7","4","2","",".241",".356",".468",".823",".348","","118","1.3","2.3","","15.8","-7.2","2.7","","51.8","13301"
"Alex Verdugo","Red Sox","126","510","458","141","32","3","14","65","67","42","69","4","6","3","",".307",".367",".480",".846",".357","","119","0.4","3.8","","12.6","-2.5","2.7","","231.4","17027"
"Carlos Santana","Indians","150","661","551","143","30","1","30","93","96","100","104","5","3","1","",".260",".375",".483",".859",".360","","121","-0.4","0.0","","17.6","-12.8","2.7","","118.8","2396"
"Austin Meadows","Rays","136","613","549","149","30","5","27","88","83","50","125","6","14","6","",".272",".338",".494",".831",".345","","119","0.5","-2.2","","15.2","-8.9","2.7","","37.2","15672"
"Eloy Jimenez","White Sox","139","573","526","147","25","2","32","76","90","36","130","5","1","1","",".280",".329",".521",".850",".352","","122","0.8","-2.5","","17.1","-9.8","2.7","","58.4","17484"
"Lorenzo Cain","Brewers","139","631","558","155","29","1","15","84","62","57","109","7","18","6","",".277",".349",".416",".764",".328","","100","1.3","3.2","","1.3","5.5","2.7","","175.4","9077"
"Andrew Benintendi","Red Sox","146","668","583","159","39","4","19","98","73","69","130","6","14","5","",".273",".354",".453",".806",".342","","109","1.5","1.5","","9.2","-5.5","2.7","","117.8","17901"
"Christian Vazquez","Red Sox","104","411","377","99","20","1","12","47","51","25","77","3","4","2","",".263",".312",".418",".730",".308","","86","-1.3","2.9","","-8.8","10.6","2.6","","200.0","9774"
"Willy Adames","Rays","144","574","511","131","24","2","18","63","67","52","139","3","6","3","",".256",".326",".416",".742",".316","","99","1.1","-1.0","","0.5","6.2","2.6","","299.6","15986"
"Marcell Ozuna","Braves","144","622","558","154","27","2","31","80","98","56","129","3","7","3","",".276",".342",".495",".837",".350","","114","0.2","1.9","","11.5","-5.3","2.6","","87.8","10324"
"Gary Sanchez","Yankees","107","452","398","96","16","1","30","65","76","43","117","7","1","1","",".242",".324",".517",".841",".347","","117","-0.4","-2.9","","9.4","5.1","2.6","","87.0","11442"
"Joc Pederson","Dodgers","99","419","363","93","19","2","26","61","68","44","89","7","2","1","",".256",".345",".537",".882",".364","","128","0.6","1.7","","16.4","-3.7","2.5","","195.8","11899"
"Adalberto Mondesi","Royals","139","627","583","148","28","9","19","82","72","32","169","3","47","14","",".254",".293",".431",".724",".303","","85","4.5","4.1","","-7.2","11.0","2.5","","41.0","13769"
"Roberto Perez","Indians","101","393","344","76","14","1","15","45","48","40","115","3","1","0","",".220",".304",".401",".705",".301","","82","-1.0","4.2","","-10.2","12.6","2.5","","318.8","2900"
"Kolten Wong","Cardinals","130","577","504","135","28","3","12","72","53","51","89","13","17","6","",".267",".348",".410",".758",".324","","101","2.5","1.6","","3.3","3.8","2.5","","211.0","12532"
"Michael Brantley","Astros","136","602","543","157","33","2","20","80","85","48","70","5","5","2","",".289",".350",".467",".817",".344","","118","0.1","-1.3","","14.1","-9.7","2.5","","121.0","4106"
"Keston Hiura","Brewers","144","620","563","153","33","3","29","79","97","42","165","10","12","6","",".272",".331",".496",".827",".344","","110","0.1","-5.9","","8.5","-3.5","2.4","","44.8","20003"
"Kyle Seager","Mariners","138","600","538","131","29","1","26","70","80","50","122","6","3","2","",".243",".312",".446",".758",".319","","101","-0.8","1.2","","0.4","3.5","2.4","","302.6","9785"
"Luis Arraez","Twins","130","521","469","147","27","2","6","59","57","42","44","3","5","2","",".312",".369",".416",".786",".338","","110","0.8","-3.5","","7.4","-1.3","2.4","","285.0","18568"
"Amed Rosario","Mets","149","592","547","151","28","5","14","61","66","32","106","4","18","8","",".276",".318",".424",".742",".313","","96","1.4","-1.1","","-1.5","6.3","2.3","","126.6","15518"
"Andrew McCutchen","Phillies","133","614","520","135","26","2","28","91","70","78","136","6","9","4","",".259",".360",".477",".836",".354","","117","-0.8","-2.4","","13.1","-9.0","2.3","","209.2","9847"
"Shohei Ohtani","Angels","113","488","434","122","23","3","25","70","82","46","126","4","11","5","",".281",".353",".525",".878",".364","","131","0.4","0.0","","19.6","-13.2","2.3","","122.6","19755"
"Bryan Reynolds","Pirates","141","635","569","164","33","4","18","82","68","52","135","6","6","3","",".288",".351",".454",".805",".341","","111","0.5","-1.9","","9.8","-7.1","2.3","","158.2","19326"
"Mark Canha","Athletics","130","544","470","118","25","2","23","70","74","55","127","13","3","2","",".251",".343",".461",".804",".339","","115","-0.2","-0.7","","10.2","-6.6","2.2","","209.2","11445"
"Danny Jansen","Blue Jays","77","291","257","64","14","1","10","36","35","26","52","5","2","1","",".250",".326",".432",".759",".322","","100","0.2","0.6","","0.2","7.0","2.2","","260.8","16535"
"Jorge Soler","Royals","146","640","553","143","30","1","35","87","98","72","172","8","4","2","",".258",".349",".504",".853",".356","","121","-0.5","-0.7","","16.7","-16.5","2.2","","89.8","14221"
"Tim Anderson","White Sox","150","679","636","175","35","1","23","89","76","27","152","5","19","6","",".276",".308",".441",".750",".315","","97","1.5","-7.9","","-1.1","-0.4","2.2","","100.6","15172"
"Eddie Rosario","Twins","134","571","535","152","31","2","27","77","92","29","95","2","4","2","",".284",".320",".502",".822",".340","","111","2.0","-0.9","","9.9","-7.7","2.2","","82.6","12155"
"Eduardo Escobar","Diamondbacks","147","649","589","152","32","7","25","80","87","49","129","5","4","2","",".257",".317",".463",".780",".325","","98","0.6","0.0","","-1.0","2.4","2.2","","96.2","6153"
"Cavan Biggio","Blue Jays","133","599","503","118","24","3","20","80","65","83","155","4","12","5","",".235",".346",".414",".759",".327","","104","1.1","-0.3","","3.8","-2.6","2.2","","121.2","19252"
"J.P. Crawford","Mariners","143","640","554","129","27","4","14","73","59","71","135","6","8","4","",".233",".325",".373",".698",".303","","91","0.6","-0.6","","-6.8","6.5","2.2","","529.6","15491"
"Jean Segura","Phillies","131","573","527","152","30","3","14","69","63","32","73","6","11","4","",".288",".334",".433",".767",".325","","99","1.2","0.6","","0.2","3.4","2.1","","168.6","5933"
"Whit Merrifield","Royals","150","695","630","178","37","6","14","92","64","48","116","6","24","8","",".282",".337",".427",".764",".324","","99","2.8","-4.8","","1.9","-4.6","2.1","","55.6","11281"
"Mike Moustakas","Reds","144","622","560","144","28","1","36","82","101","51","110","6","2","1","",".257",".323",".504",".827",".341","","107","-2.2","-4.2","","3.5","-1.8","2.1","","82.4","4892"
"Matt Carpenter","Cardinals","125","562","469","111","27","2","22","77","61","79","140","7","4","2","",".237",".352",".443",".795",".338","","111","-0.3","-5.8","","7.6","-4.2","2.1","","382.6","8090"
"Didi Gregorius","Phillies","134","562","518","134","25","3","23","65","78","34","82","5","5","2","",".259",".308",".451",".759",".317","","93","1.6","0.0","","-3.4","6.8","2.1","","206.2","6012"
"Victor Robles","Nationals","150","650","583","153","33","3","18","81","73","42","136","16","29","12","",".263",".327",".424",".751",".319","","92","1.4","3.4","","-5.1","5.6","2.1","","85.2","18363"
"Adam Eaton","Nationals","139","631","547","155","29","5","14","87","63","63","109","11","12","4","",".283",".366",".432",".798",".343","","108","1.9","-1.2","","8.9","-8.2","2.1","","219.2","11205"
"Gavin Lux","Dodgers","130","544","489","130","24","4","17","67","64","45","112","3","9","4","",".267",".329",".438",".767",".324","","102","0.4","-0.9","","2.1","1.3","2.0","","179.4","19955"
"Carter Kieboom","Nationals","122","471","415","108","21","1","13","49","54","44","109","5","4","2","",".261",".336",".415",".751",".321","","94","0.3","6.6","","-3.5","8.8","2.0","","328.4","19958"
"Carson Kelly","Diamondbacks","99","386","332","83","17","1","14","42","46","44","74","4","1","0","",".250",".341",".430",".771",".323","","97","-0.3","0.8","","-1.7","9.1","2.0","","215.8","13620"
"Joey Votto","Reds","147","666","553","149","30","1","23","95","73","96","123","7","4","1","",".270",".383",".452",".835",".357","","117","-4.0","0.0","","11.1","-12.2","2.0","","266.8","4314"
"Brandon Belt","Giants","126","557","472","120","29","3","18","68","66","75","122","4","4","2","",".253",".358",".441",".799",".340","","113","-0.1","3.8","","9.1","-6.7","2.0","","482.6","10264"
"Josh Bell","Pirates","150","646","554","152","32","3","30","83","96","82","122","4","2","1","",".275",".370",".504",".873",".362","","125","-2.2","-7.2","","18.9","-19.7","2.0","","80.0","13145"
"Yandy Diaz","Rays","118","522","454","125","23","2","12","61","59","60","100","3","4","2","",".275",".361",".411",".772",".333","","111","-0.2","-0.8","","6.8","-5.4","1.9","","253.6","16578"
"Mike Zunino","Rays","99","378","337","69","14","1","16","43","46","30","130","5","2","1","",".204",".277",".397",".674",".286","","79","-0.4","2.2","","-10.6","10.5","1.9","","438.4","13265"
