"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Jeffry Parra","Giants","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".156",".213",".238",".451",".200","","21","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa918541"
"Andy Yerzy","Diamondbacks","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".171",".222",".250",".472",".207","","21","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa917939"
"Logan Farrar","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".191",".242",".279",".521",".227","","35","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3004126"
"Maxwell Morales","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".163",".204",".262",".466",".202","","18","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa917279"
"Jordan Wren","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".192",".242",".279",".522",".227","","35","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3002843"
"Carlos Penuelas","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".200",".245",".278",".523",".229","","36","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa547125"
"Wander Javier","Twins","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".167",".216",".258",".474",".207","","21","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa917168"
"Brian Mims","Phillies","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".192",".238",".271",".509",".223","","31","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3004145"
"Heriberto Hernandez","Rangers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".170",".217",".270",".487",".211","","16","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3005630"
"Leonel Valera","Dodgers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".182",".226",".244",".470",".207","","26","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa917320"
"Tristin English","Diamondbacks","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".192",".226",".293",".519",".223","","31","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa876328"
"Austin Aune","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".181",".238",".282",".519",".227","","35","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa657969"
"Clark Scolamiero","Indians","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".190",".240",".286",".525",".229","","33","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3002837"
"Pedro Gonzalez","Rangers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".192",".241",".307",".548",".236","","33","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa872568"
"Jonathan Guzman","Phillies","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".197",".233",".257",".490",".214","","26","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa917127"
"Ramon Marcelino","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".189",".221",".313",".535",".227","","35","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa828425"
"Nick Sogard","Rays","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".176",".226",".221",".447",".200","","21","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa1169919"
"Eudy Ramos","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".185",".221",".284",".505",".217","","29","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa740555"
"Kekai Rios","Brewers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".170",".219",".253",".472",".207","","20","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3007282"
"Garrett McCain","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".188",".245",".269",".514",".227","","35","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa915823"
"LJ Hatch","Rockies","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".219",".261",".298",".559",".243","","31","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3005233"
"Bryan Lizardo","Blue Jays","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".177",".222",".266",".488",".213","","26","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa827944"
"Cesar Diaz","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".186",".244",".269",".513",".226","","35","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa828129"
"Franklin Labour","Giants","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".185",".230",".289",".519",".224","","37","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa916848"
"Kole Enright","Rangers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".194",".241",".278",".519",".226","","26","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa917991"
"Toby Welk","Orioles","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".187",".226",".272",".498",".216","","26","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa1170296"
"Blake Butler","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".188",".231",".266",".497",".217","","28","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa875641"
"Parker Meadows","Tigers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".188",".234",".281",".515",".224","","32","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3007943"
"Gene Cone","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".194",".248",".263",".511",".226","","34","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa874078"
"Marcos Brito","Athletics","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".173",".219",".232",".451",".200","","21","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3003183"
"David Garza","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".185",".229",".267",".496",".217","","28","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3007093"
"Jaxx Groshans","Red Sox","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".168",".215",".248",".463",".203","","15","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3010160"
"Matthew Page","Nationals","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".192",".251",".279",".531",".233","","37","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa829167"
"Nick Choruby","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".184",".246",".263",".509",".226","","34","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3004881"
"Eduardo Torrealba","Yankees","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".184",".225",".236",".462",".204","","20","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa917095"
"Vinny Siena","Mets","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".174",".240",".231",".471",".212","","31","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa827132"
"Juan Martinez","Reds","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".186",".237",".277",".514",".224","","31","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa917056"
"Aaron Schunk","Rockies","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".211",".247",".322",".568",".242","","30","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3009957"
"Nick Yarnall","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".189",".255",".312",".567",".246","","48","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa918978"
"Dylan Burdeaux","Tigers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".207",".252",".313",".566",".244","","46","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3004172"
"J.D. Williams","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".188",".236",".254",".490",".216","","28","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa875735"
"Dwanya Williams-Sutton","Padres","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".173",".242",".265",".507",".225","","36","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa875819"
"Milton Ramos","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".189",".226",".250",".475",".208","","23","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa828792"
"Tanner Morris","Blue Jays","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".173",".226",".232",".458",".204","","20","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3009873"
"Walter Rasquin","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".195",".231",".264",".495",".216","","28","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa754712"
"Ricardo Rodriguez","Braves","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".183",".221",".248",".470",".206","","20","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa877334"
"Juan Uriarte","Mets","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".168",".204",".246",".450",".196","","20","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa872569"
"Jake Stone","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".185",".232",".287",".520",".225","","34","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3004305"
"Luis Silverio","Diamondbacks","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".198",".236",".300",".536",".230","","36","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa876098"
"Phil Caulfield","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".191",".229",".269",".498",".216","","28","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3004886"
"Justin Lopez","Padres","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".181",".216",".266",".482",".208","","25","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3002670"
"Dalton Blaser","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".187",".238",".277",".515",".225","","34","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa659285"
"Leonardo Molina","Yankees","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".190",".231",".278",".509",".221","","32","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa830227"
"Danny Zardon","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".176",".225",".269",".494",".216","","28","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa858049"
"Luis Fonseca","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".197",".233",".295",".529",".227","","35","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa592342"
"Mario Sanjur","Angels","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".160",".208",".225",".433",".192","","14","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa735840"
"D.J. Wilson","Cubs","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".179",".245",".277",".522",".229","","36","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa875023"
"Bryce Bush","White Sox","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".169",".219",".257",".476",".209","","25","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3008278"
"Zander Clarke","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".186",".235",".281",".517",".225","","34","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3008431"
"Wilyer Abreu","Astros","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".183",".228",".269",".496",".216","","31","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3005082"
"Nick Roscetti","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".197",".236",".256",".493",".216","","28","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa918590"
"Kyle Wilkie","Pirates","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".180",".219",".240",".459",".201","","19","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3010270"
"Tanner Kirwer","Blue Jays","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".187",".232",".272",".504",".220","","31","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3002831"
"Rafael Narea","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".185",".230",".239",".469",".208","","22","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa871441"
"Trey Vavra","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".181",".236",".278",".514",".225","","34","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa829620"
"Robbie Thorburn","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".197",".236",".282",".518",".225","","34","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3004240"
"Eric Gonzalez","Cubs","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".175",".217",".246",".463",".203","","19","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa831146"
"Aldemar Burgos","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".189",".231",".291",".522",".225","","34","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa875196"
"Mike Salvatore","Mariners","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".175",".213",".237",".450",".197","","20","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3011254"
"Stanley Espinal","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".187",".225",".275",".499",".215","","27","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa872852"
"Jonah Davis","Pirates","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".178",".229",".295",".524",".226","","36","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3007501"
"Raynel Delgado","Indians","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".189",".227",".253",".480",".209","","19","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3007288"
"Oliver Dunn","Yankees","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".178",".229",".248",".477",".211","","25","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3010595"
"Samuel Miranda","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".171",".207",".251",".458",".199","","16","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa828316"
"Javier Guevara","Rockies","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".203",".236",".285",".521",".225","","19","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa872828"
"Johan Lopez","Rays","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".180",".215",".236",".451",".198","","19","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3003228"
"Francisco Del Valle","Angels","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".172",".232",".258",".490",".217","","31","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa918323"
"Andres Angulo","Giants","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".171",".209",".240",".450",".197","","19","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa872806"
"Garvis Lara","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".179",".221",".251",".472",".207","","22","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa828305"
"Angel Lopez Alvarez","Indians","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".163",".212",".245",".457",".201","","14","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3004167"
"J.C. Cardenas","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".177",".224",".244",".469",".207","","22","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa875166"
"Drew Campbell","Braves","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".198",".235",".300",".535",".230","","35","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3011264"
"Spencer Horwitz","Blue Jays","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".191",".228",".280",".508",".220","","31","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa1115496"
"Jeyson Sanchez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".173",".225",".266",".491",".215","","27","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa828118"
"Jimmy Govern","Royals","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".181",".220",".275",".495",".213","","25","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3010166"
"Josh Shaw","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".198",".234",".257",".491",".215","","27","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3007056"
"Greifer Andrade","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".187",".214",".265",".479",".206","","22","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa826675"
"Romy Gonzalez","White Sox","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".180",".230",".264",".494",".217","","31","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3006652"
"Chris Hoo","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".159",".216",".229",".445",".198","","16","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa829425"
"John Cresto","Rockies","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".206",".242",".321",".563",".240","","29","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3006782"
"Wilmer Reyes","Mets","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".186",".213",".255",".468",".202","","24","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa917118"
"Miguel Eladio","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".186",".217",".259",".476",".206","","21","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa828210"
"Joe Gillette","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".168",".221",".270",".491",".214","","27","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3006849"
"David Garcia","Rangers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".179",".222",".255",".477",".208","","14","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3003197"
"Harrison Wenson","Angels","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".135",".199",".229",".428",".191","","13","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa738936"
"Tyler Brown","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".189",".234",".252",".486",".214","","27","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa829856"
"AJ Lee","Astros","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".162",".207",".242",".450",".197","","19","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3010146"
"Nick Conti","Mets","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".179",".228",".249",".476",".210","","29","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3010844"
"David Harris","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".187",".232",".285",".516",".224","","33","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa738643"
"Fidel Mejia","Cubs","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".191",".230",".272",".502",".218","","29","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa872516"
"Jose Gutierrez","Cubs","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".194",".235",".291",".526",".227","","35","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa917301"
"Ryan Ramiz","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".182",".244",".261",".504",".224","","33","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3006924"
"Randy Norris","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".188",".237",".275",".511",".223","","33","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3007321"
"Dayton Dugas","Tigers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".187",".227",".284",".512",".221","","30","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3006855"
"Steven Leyton","Diamondbacks","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".190",".225",".261",".485",".211","","24","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa917309"
"Robby Rinn","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".211",".257",".308",".565",".244","","47","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa918595"
"Mikey Edie","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".199",".238",".276",".513",".223","","33","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa827967"
"Pat McInerney","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".184",".252",".310",".561",".244","","47","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3004078"
"Yunior Severino","Twins","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".188",".225",".261",".486",".211","","24","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3003185"
"Alex McKenna","Astros","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".182",".225",".268",".493",".214","","30","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3008003"
"Cole Roederer","Cubs","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".184",".238",".281",".519",".227","","35","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3008184"
"Niko Decolati","Rockies","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".219",".258",".321",".579",".249","","35","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3006670"
"Irving Ortega","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".183",".225",".242",".467",".206","","21","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa872446"
"Will Banfield","Marlins","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".164",".203",".246",".449",".195","","18","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3007973"
"Miguel Hernandez","Reds","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".197",".228",".266",".494",".214","","24","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa917055"
"Kenny Corey","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".193",".232",".256",".488",".214","","26","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3004073"
"Frankie Rios","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".177",".227",".235",".463",".206","","21","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3003953"
"Jesus Severino","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".181",".222",".248",".470",".206","","21","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa827943"
"Adrian Rondon","Angels","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".176",".212",".241",".453",".198","","18","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa877519"
"Hunter Hargrove","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".214",".254",".314",".568",".244","","46","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3004039"
"Luis Roman","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".177",".219",".275",".494",".214","","26","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3004063"
"Rusber Estrada","Braves","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".165",".219",".240",".459",".203","","18","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3007077"
"Matt Duce","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".166",".211",".238",".448",".197","","15","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3006644"
"Anthony Villa","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".170",".228",".255",".483",".214","","26","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa918406"
"Carlos Castro","Braves","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".214",".245",".344",".589",".249","","48","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa657241"
"Daniel Barrios","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".180",".232",".250",".482",".213","","26","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa657319"
"Will Robertson","Blue Jays","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".182",".226",".276",".502",".218","","30","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3009879"
"Erlin Cerda","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".189",".228",".261",".489",".213","","26","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa737222"
"Juan Mendez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".166",".206",".247",".454",".197","","15","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3002700"
"Reydel Medina","Reds","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".189",".228",".313",".541",".230","","34","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa830291"
"Mitchell Tolman","Pirates","3","13","12","3","1","0","0","1","1","1","3","0","0","0","",".229",".299",".336",".635",".277","","69","0.0","0.0","","-0.5","0.1","0.0","","999.0","sa858829"
"Trever Morrison","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".174",".223",".240",".463",".205","","20","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa738906"
"Austin Dennis","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".194",".238",".270",".508",".222","","32","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3007650"
"Miguel Aparicio","Rangers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".202",".238",".301",".539",".232","","30","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa917275"
"Matt Pita","Yankees","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".184",".222",".256",".477",".208","","23","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3008146"
"Owen Spiwak","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".160",".210",".235",".445",".197","","15","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa738385"
"Marino Campana","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".181",".224",".294",".518",".222","","32","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa872486"
"Onix Vega","Nationals","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".182",".221",".246",".467",".204","","17","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3008007"
"Estamy Urena","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".190",".230",".258",".488",".213","","26","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3002628"
"Justin Yurchak","Dodgers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".198",".253",".299",".553",".241","","48","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa915590"
"Seth Lancaster","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".168",".224",".260",".484",".212","","25","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3006788"
"Jordan Qsar","Rays","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".155",".220",".265",".485",".213","","29","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3007078"
"Devin Hairston","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".178",".227",".234",".461",".205","","20","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa915575"
"Jonathan Diaz","Red Sox","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".171",".209",".247",".456",".199","","12","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3005290"
"Nick Horvath","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".176",".236",".267",".503",".222","","32","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3008186"
"Francisco Ventura","Rangers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".175",".221",".247",".468",".206","","12","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa917360"
"Ricky De La Torre","Twins","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".174",".215",".246",".461",".202","","18","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3004503"
"Alexei Ramirez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".211",".253",".321",".574",".246","","48","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3005372"
