"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FF","2019-09-28","93.1","-1.6149","7.0221","Justin Verlander",592230,434378,"null","foul",,,,,1,"null","R","L","R","LAA","HOU","S","null","null",0,1,2019,"-0.9480","1.7764","-0.8143","3.6062","null","null","null",0,5,"Bot","null","null",,,455139,,"190929_022919","3.9830","-135.1236","-6.5740","-12.1044","31.1626","-9.9774","3.4900","1.6100","185","74.3","25.5","91.1570","2489","5.3900",564813,434378,455139,493329,514888,649557,608324,502210,545350,543807,"55.1097","null","null","null","null","null","null","null",36,"2","4-Seam Fastball",3,0,3,0,0,3,3,0,"Infield shift","Standard"
"SL","2019-09-28","84.9","-1.6755","6.9510","Justin Verlander",592230,434378,"null","foul",,,,,3,"null","R","L","R","LAA","HOU","S","null","null",0,0,2019,"0.6275","0.5867","0.5683","2.9612","null","null","null",0,5,"Bot","null","null",,,455139,,"190929_022840","3.9647","-123.4464","-4.0879","5.4551","22.8587","-25.8865","3.4900","1.6100","52","69.3","85.2","83.3730","2563","5.1650",564813,434378,455139,493329,514888,649557,608324,502210,545350,543807,"55.3344","null","null","null","null","null","null","null",36,"1","Slider",3,0,3,0,0,3,3,0,"Infield shift","Standard"
"SL","2019-09-28","87.5","-1.5079","6.9375","Justin Verlander",621493,434378,"strikeout","swinging_strike",,,,,14,"Taylor Ward strikes out swinging.  ","R","R","R","LAA","HOU","S",2,"null",0,2,2019,"0.2607","0.4174","1.0934","1.1142","null","null",607345,2,4,"Bot","null","null",,,455139,,"190929_020829","5.6753","-127.0013","-8.6457","1.6870","24.3363","-26.3055","3.3900","1.5900","null","null","null","86.6370","2480","5.7370",564813,434378,455139,493329,514888,649557,608324,502210,545350,543807,"54.7620","null","null","0.00",1,0,0,"null",30,"3","Slider",3,0,3,0,0,3,3,0,"Standard","Standard"
"FF","2019-09-28","95.0","-1.3764","6.9064","Justin Verlander",621493,434378,"null","foul",,,,,12,"null","R","R","R","LAA","HOU","S","null","null",0,1,2019,"-0.7032","1.5450","0.0527","3.5775","null","null",607345,2,4,"Bot","null","null",,,455139,,"190929_020804","5.2973","-138.0434","-6.4611","-10.1466","31.5668","-11.2911","3.3900","1.5900","206","75.0","54.1","94.6750","2503","6.2400",564813,434378,455139,493329,514888,649557,608324,502210,545350,543807,"54.2597","null","null","null","null","null","null","null",30,"2","4-Seam Fastball",3,0,3,0,0,3,3,0,"Standard","Standard"
"CU","2019-09-28","79.3","-1.6354","6.8078","Justin Verlander",621493,434378,"null","called_strike",,,,,8,"null","R","R","R","LAA","HOU","S","null","null",0,0,2019,"0.5436","-1.0328","0.2136","1.6438","null","null",607345,2,4,"Bot","null","null",,,455139,,"190929_020734","2.9907","-115.2814","-2.6760","4.0356","20.2866","-40.6650","3.2501","1.5690","null","null","null","76.8560","2811","4.4670",564813,434378,455139,493329,514888,649557,608324,502210,545350,543807,"56.0325","null","null","null","null","null","null","null",30,"1","Curveball",3,0,3,0,0,3,3,0,"Standard","Standard"
"CU","2019-09-28","80.1","-1.6745","6.8027","Justin Verlander",665120,434378,"strikeout","swinging_strike_blocked",,,,,14,"Jared Walsh strikes out swinging.  ","R","L","R","LAA","HOU","S",2,"null",2,2,2019,"0.4598","-0.8003","0.2564","1.0085","null","null",607345,1,4,"Bot","null","null",,,455139,,"190929_020658","3.3446","-116.3166","-4.5200","3.3331","21.8318","-38.5131","3.3800","1.6200","null","null","null","77.8720","2726","4.8270",564813,434378,455139,493329,514888,649557,608324,502210,545350,543807,"55.6724","null","null","0.00",1,0,0,"null",29,"5","Curveball",3,0,3,0,0,3,3,0,"Infield shift","Standard"
"SL","2019-09-28","87.7","-1.5542","6.8717","Justin Verlander",665120,434378,"null","blocked_ball",,,,,14,"null","R","L","R","LAA","HOU","B","null","null",1,2,2019,"0.3612","0.8143","0.6765","1.1765","null","null",607345,1,4,"Bot","null","null",,,455139,,"190929_020626","4.6153","-127.4230","-9.2754","3.1177","21.8859","-21.9667","3.3800","1.6529","null","null","null","87.4200","2577","5.8330",564813,434378,455139,493329,514888,649557,608324,502210,545350,543807,"54.6666","null","null","null","null","null","null","null",29,"4","Slider",3,0,3,0,0,3,3,0,"Infield shift","Standard"
"SL","2019-09-28","87.3","-1.4567","6.9660","Justin Verlander",665120,434378,"null","ball",,,,,14,"null","R","L","R","LAA","HOU","B","null","null",0,2,2019,"0.4304","0.6921","0.3182","1.2393","null","null",607345,1,4,"Bot","null","null",,,455139,,"190929_020602","3.3615","-126.7676","-8.8970","3.8944","24.5297","-23.3814","3.5083","1.6414","null","null","null","86.2930","2501","5.6430",564813,434378,455139,493329,514888,649557,608324,502210,545350,543807,"54.8567","null","null","null","null","null","null","null",29,"3","Slider",3,0,3,0,0,3,3,0,"Infield shift","Standard"
"SL","2019-09-28","87.8","-1.5603","6.9394","Justin Verlander",665120,434378,"null","called_strike",,,,,5,"null","R","L","R","LAA","HOU","S","null","null",0,1,2019,"0.3922","0.8469","-0.0800","2.5091","null","null",607345,1,4,"Bot","null","null",,,455139,,"190929_020538","2.7622","-127.7513","-6.3163","3.7328","23.3793","-22.0858","3.3800","1.6455","null","null","null","87.3140","2541","5.7380",564813,434378,455139,493329,514888,649557,608324,502210,545350,543807,"54.7614","null","null","null","null","null","null","null",29,"2","Slider",3,0,3,0,0,3,3,0,"Infield shift","Standard"
"CU","2019-09-28","80.3","-1.8028","6.8518","Justin Verlander",665120,434378,"null","called_strike",,,,,6,"null","R","L","R","LAA","HOU","S","null","null",0,0,2019,"0.4107","-0.6586","0.5080","2.5090","null","null",607345,1,4,"Bot","null","null",,,455139,,"190929_020515","4.2521","-116.6137","-1.6858","2.7394","22.1601","-37.8416","3.3800","1.7021","null","null","null","77.9730","2903","4.7780",564813,434378,455139,493329,514888,649557,608324,502210,545350,543807,"55.7219","null","null","null","null","null","null","null",29,"1","Curveball",3,0,3,0,0,3,3,0,"Infield shift","Standard"
