pitch_type,pitch_name,release_speed,release_pos_x,release_pos_z,player_name,events,description,zone,stand,p_throws,type,,,,,,,,,,,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,,,,,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,,,,,,,,,,,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number
FT,2-Seam Fastball,92.5,2.4483,5.5914,Hyun-Jin Ryu,null,ball,13,R,L,B,,,,,,,,,,,null,null,0,0,2019,1.4085,0.361,-0.5072,0.6122,null,null,null,1,5,Bot,null,null,,,,,190928_212558,-10.5525,-134.1623,-7.6366,19.1791,27.3567,-26.4593,3.5688,1.7445,null,null,null,92.371,2077,6.264,,,,,,,,,,,54.2354,null,null,null,null,null,null,null,35,1
FC,Cutter,87.4,2.3528,5.7225,Hyun-Jin Ryu,field_out,hit_into_play,6,R,L,X,,,,,,,,,,,6,ground_ball,1,2,2019,-0.3784,0.2956,0.4285,2.3174,null,null,null,0,5,Bot,108.8,145.62,,,,,190928_212524,-3.8514,-127.291,-2.7041,-3.3583,24.1608,-28.6801,3.391,1.6602,8,94.9,-15.2,87.331,2110,6.029,,,,,,,,,,,54.4702,0.18,0.154,0,1,0,0,2,34,4
FF,4-Seam Fastball,90.9,2.2979,5.647,Hyun-Jin Ryu,null,called_strike,13,R,L,S,,,,,,,,,,,null,null,1,1,2019,0.8533,1.0282,-0.8592,2.1464,null,null,null,0,5,Bot,null,null,,,,,190928_212501,-9.7265,-132.1032,-5.1084,11.8865,24.6366,-19.2736,3.3377,1.6116,null,null,null,91.301,2059,6.325,,,,,,,,,,,54.1745,null,null,null,null,null,null,null,34,3
FC,Cutter,90.3,2.4004,5.6535,Hyun-Jin Ryu,null,ball,12,R,L,B,,,,,,,,,,,null,null,0,1,2019,0.4263,0.9954,0.146,4.2135,null,null,null,0,5,Bot,null,null,,,,,190928_212445,-6.5201,-131.4949,0.1431,6.1273,22.63,-20.6884,3.41,1.67,null,null,null,91.072,1918,6.301,,,,,,,,,,,54.1986,null,null,null,null,null,null,null,34,2
FT,2-Seam Fastball,90.6,2.5183,5.6364,Hyun-Jin Ryu,null,called_strike,9,R,L,S,,,,,,,,,,,null,null,0,0,2019,1.0592,0.4621,0.6754,1.938,null,null,null,0,5,Bot,null,null,,,,,190928_212427,-6.8332,-131.811,-4.3483,13.6636,24.425,-26.1537,3.3594,1.6356,null,null,null,90.908,1955,6.202,,,,,,,,,,,54.298,null,null,null,null,null,null,null,34,1
FC,Cutter,88.4,2.4174,5.7918,Hyun-Jin Ryu,field_out,hit_into_play,1,R,L,X,,,,,,,,,,,7,fly_ball,0,1,2019,-0.0497,0.626,-0.7884,2.9957,null,643289,457763,2,4,Bot,64.67,76.71,,,,,190928_211003,-7.7103,-128.6638,-2.1599,0.6938,20.912,-24.9448,3.2161,1.5242,322,84.1,30.5,89.196,2023,6.291,,,,,,,,,,,54.2081,0.025,0.047,0,1,0,0,3,28,2
CH,Changeup,81.8,2.5182,5.5535,Hyun-Jin Ryu,null,called_strike,4,R,L,S,,,,,,,,,,,null,null,0,0,2019,1.0289,0.462,-0.6452,2.1118,null,643289,457763,2,4,Bot,null,null,,,,,190928_210935,-9.2201,-118.9015,-2.1565,11.5704,20.5441,-27.4945,3.2069,1.5222,null,null,null,82.774,1603,6.778,,,,,,,,,,,53.7218,null,null,null,null,null,null,null,28,1
FF,4-Seam Fastball,91.2,2.2449,5.6862,Hyun-Jin Ryu,field_out,hit_into_play,4,R,L,X,,,,,,,,,,,9,line_drive,0,1,2019,0.9188,1.0705,-0.4918,2.677,null,643289,457763,1,4,Bot,190.1,79.7,,,,,190928_210853,-9.0046,-132.7202,-4.0983,12.9445,26.8807,-18.5622,3.6544,1.6557,320,96.2,23,92.473,2195,6.924,,,,,,,,,,,53.5752,0.318,0.417,0,1,0,0,5,27,2
FC,Cutter,87.5,2.3989,5.8086,Hyun-Jin Ryu,null,foul,8,R,L,S,,,,,,,,,,,null,null,0,0,2019,0.4988,0.6194,0.2282,1.9915,null,643289,457763,1,4,Bot,null,null,,,,,190928_210818,-6.2836,-127.415,-4.46,6.5919,21.9082,-24.7397,3.67,1.69,9,70.9,-13.5,88.35,2136,6.42,,,,,,,,,,,54.0796,null,null,null,null,null,null,null,27,1
CH,Changeup,82.6,2.5921,5.5891,Hyun-Jin Ryu,single,hit_into_play_no_out,14,R,L,X,,,,,,,,,,,9,ground_ball,1,0,2019,1.0367,0.4607,0.9547,1.7284,null,null,643289,1,4,Bot,163.15,114.63,,,,,190928_210726,-5.7698,-120.258,-3.2486,11.1799,21.5357,-27.2773,3.4419,1.624,32,75.5,-0.8,83.131,1582,6.443,,,,,,,,,,,54.0569,0.152,0.119,0.9,1,1,0,2,26,2
