"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FT","2019-09-28","94.3","2.5267","6.1862","Francisco Lindor",596019,571578,"null","ball",,,,,12,"null","R","R","L","WSH","CLE","B","null","null",0,1,2019,"1.1069","0.8243","1.2148","3.0919",623205,"null","null",2,3,"Top","null","null",,,543228,,"190928_210328","-5.9132","-137.2653","-4.1986","15.3858","31.0594","-20.9730","3.3231","1.5983","null","null","null","94.6380","2333","6.5190",565974,571578,543228,475582,452678,543685,607208,665742,467827,594809,"53.9805","null","null","null","null","null","null","null",28,"2","2-Seam Fastball",9,0,0,9,0,9,0,9,"Standard","Standard"
"SL","2019-09-28","81.3","2.5153","6.2865","Francisco Lindor",596019,571578,"null","swinging_strike",,,,,7,"null","R","R","L","WSH","CLE","S","null","null",0,0,2019,"-0.2222","-0.0498","-0.5668","1.5556",623205,"null","null",2,3,"Top","null","null",,,543228,,"190928_210305","-6.4569","-118.2134","-3.9153","-0.9228","21.0882","-32.1539","3.2500","1.5400","null","null","null","81.1650","2361","6.0960",565974,571578,543228,475582,452678,543685,607208,665742,467827,594809,"54.4030","null","null","null","null","null","null","null",28,"1","Slider",9,0,0,9,0,9,0,9,"Standard","Standard"
"SL","2019-09-28","74.4","2.7589","6.4133","Francisco Lindor",596019,571578,"field_out","hit_into_play",,,,,3,"Francisco Lindor grounds out, shortstop Trea Turner to first baseman Ryan Zimmerman.  ","R","R","L","WSH","CLE","X",6,"ground_ball",0,1,2019,"-0.4963","-0.1712","0.4997","3.0912","null","null","null",1,1,"Top","107.78","157.30",,,543228,,"190928_200749","-3.7432","-108.2692","0.6290","-3.2321","17.4339","-33.8278","3.2500","1.5400","7","90.9","-25.8","73.8260","2132","5.6830",565974,571578,543228,475582,452678,543685,607208,665742,467827,594809,"54.8160","0.102","0.092","0.00",1,0,0,2,2,"2","Slider",0,0,0,0,0,0,0,0,"Standard","Standard"
"FT","2019-09-28","93.7","2.4995","6.3333","Francisco Lindor",596019,571578,"null","called_strike",,,,,12,"null","R","R","L","WSH","CLE","S","null","null",0,0,2019,"1.2511","0.8991","0.8429","2.3967","null","null","null",1,1,"Top","null","null",,,543228,,"190928_200733","-7.0916","-136.3681","-6.5269","17.2267","26.4069","-19.6975","3.2699","1.5166","null","null","null","94.6100","2182","6.5460",565974,571578,543228,475582,452678,543685,607208,665742,467827,594809,"53.9534","null","null","null","null","null","null","null",2,"1","2-Seam Fastball",0,0,0,0,0,0,0,0,"Standard","Standard"
"SL","2019-09-27","88.4","-2.5640","6.0652","Francisco Lindor",596019,663432,"field_out","hit_into_play",,,,,13,"Francisco Lindor grounds out, shortstop Trea Turner to first baseman Matt Adams.  ","R","L","R","WSH","CLE","X",6,"ground_ball",0,1,2019,"0.1850","0.0935","-1.1391","2.0133","null","null","null",0,9,"Top","110.32","153.24",,,435559,,"190928_014702","3.0734","-128.7014","-4.0144","1.4448","24.7448","-30.5930","3.2900","1.5300","79","73.0","4.4","88.1140","null","5.9170",565973,663432,435559,571431,435062,543685,607208,665742,467827,594809,"54.5824","0.160","0.147","0.00",1,0,0,2,66,"2","Slider",8,2,2,8,2,8,2,8,"Standard","Standard"
"FF","2019-09-27","98.0","-2.6320","6.1220","Francisco Lindor",596019,663432,"null","called_strike",,,,,2,"null","R","L","R","WSH","CLE","S","null","null",0,0,2019,"-0.4155","1.4962","-0.1614","3.0156","null","null","null",0,9,"Top","null","null",,,435559,,"190928_014640","7.6841","-142.5201","-6.4578","-7.3879","30.5115","-10.2994","3.2653","1.5370","null","null","null","98.7970","2447","6.6140",565973,663432,435559,571431,435062,543685,607208,665742,467827,594809,"53.8855","null","null","null","null","null","null","null",66,"1","4-Seam Fastball",8,2,2,8,2,8,2,8,"Standard","Standard"
"FF","2019-09-27","91.7","-2.1239","5.7686","Francisco Lindor",596019,608723,"field_out","hit_into_play",,,,,5,"Francisco Lindor pops out to third baseman Anthony Rendon.  ","R","L","R","WSH","CLE","X",5,"popup",3,0,2019,"-0.4300","1.3684","0.0493","2.7016","null","null","null",1,6,"Top","126.58","188.79",,,435559,,"190928_003848","6.3741","-133.3281","-4.8212","-6.3662","26.4654","-15.1973","3.2900","1.5300","118","67.4","80.8","91.4940","2098","6.0390",565973,608723,435559,571431,435062,543685,607208,665742,467827,594809,"54.4605","0.002","0.003","0.00",1,0,0,3,40,"4","4-Seam Fastball",2,2,2,2,2,2,2,2,"Standard","Standard"
"CH","2019-09-27","85.0","-2.3036","5.6242","Francisco Lindor",596019,608723,"null","ball",,,,,11,"null","R","L","R","WSH","CLE","B","null","null",2,0,2019,"-0.9441","0.6527","-1.3259","3.2096","null","null","null",1,6,"Top","null","null",,,435559,,"190928_003829","4.1794","-123.7665","-0.6774","-10.5120","23.5537","-25.5349","3.1787","1.5366","null","null","null","85.2280","1950","6.2980",565973,608723,435559,571431,435062,543685,607208,665742,467827,594809,"54.2018","null","null","null","null","null","null","null",40,"3","Changeup",2,2,2,2,2,2,2,2,"Standard","Standard"
"CH","2019-09-27","85.9","-2.3269","5.6277","Francisco Lindor",596019,608723,"null","ball",,,,,13,"null","R","L","R","WSH","CLE","B","null","null",1,0,2019,"-0.7427","0.9556","-0.0019","0.6660","null","null","null",1,6,"Top","null","null",,,435559,,"190928_003807","7.0050","-124.7900","-7.4342","-9.1276","23.8231","-20.9345","3.1787","1.5366","null","null","null","86.0470","1971","6.3600",565973,608723,435559,571431,435062,543685,607208,665742,467827,594809,"54.1390","null","null","null","null","null","null","null",40,"2","Changeup",2,2,2,2,2,2,2,2,"Standard","Standard"
"FF","2019-09-27","91.6","-2.1688","5.7320","Francisco Lindor",596019,608723,"null","ball",,,,,11,"null","R","L","R","WSH","CLE","B","null","null",0,0,2019,"-0.3560","1.3442","-1.5430","2.4919","null","null","null",1,6,"Top","null","null",,,435559,,"190928_003750","2.3366","-133.3173","-5.2215","-4.7060","26.7898","-15.3377","3.1787","1.5366","null","null","null","91.6460","2156","6.1610",565973,608723,435559,571431,435062,543685,607208,665742,467827,594809,"54.3388","null","null","null","null","null","null","null",40,"1","4-Seam Fastball",2,2,2,2,2,2,2,2,"Standard","Standard"
"CH","2019-09-27","85.7","-2.3785","5.7743","Francisco Lindor",596019,608723,"sac_fly","hit_into_play_score",,,,,4,"Francisco Lindor out on a sacrifice fly to center fielder Gerardo Parra.   Ryan Flaherty scores.  ","R","L","R","WSH","CLE","X",8,"fly_ball",0,0,2019,"-0.8805","0.7075","-0.6715","2.3645",475247,"null","null",1,3,"Top","76.84","67.07",,,435559,,"190927_234440","5.8413","-124.7463","-3.2737","-10.3787","23.5149","-24.2961","3.4900","1.6400","332","95.0","37.4","86.2560","1935","6.4870",565973,608723,435559,571431,435062,543685,607208,665742,467827,594809,"54.0127","0.110","0.208","0.00",1,0,0,3,19,"1","Changeup",2,1,1,2,1,2,1,2,"Strategic","Standard"
